Hour,num_car
0,323
1,323
2,309
3,279
4,254
5,253
6,275
7,306
8,315
9,317
10,323
11,323
12,323
13,323
14,323
15,323
16,323
17,323
18,323
19,323
20,323
21,323
22,323
23,323
