differen_0,differen_1,differen_2,differen_3,differen_4,differen_5,differen_6,differen_7,differen_8,differen_9,differen_10,differen_11,differen_12,differen_13,differen_14,differen_15,differen_16,differen_17,differen_18,differen_19,differen_20,differen_21,differen_22,differen_23,ct2010
0.059076011,0.115699874,0.747652582,0.328618421,0.3,-0.015384615,0.12183908,0.227745665,0.129422298,-0.050493379,-0.082437276,-0.182244898,-0.022286153,-0.094710744,0.03055259,-0.031410314,-0.145590753,0.005791554,-0.063233377,0.02974897,-0.070705816,0.041354413,0.053193259,0.185357473,9800
0.047057905,0.092370744,0.25528169,0.128618421,0.181818182,-0.030769231,-0.016091954,-0.077626658,-0.272065468,-0.438495775,-0.23297491,-0.107346939,0.082604526,0.123719008,-0.154084693,-0.01797018,-0.138777309,0.081963085,0.143497392,0.219003372,0.101321287,0.169643774,0.216903204,0.130408352,10000
-0.028952708,0.29035309,0.416079812,0.134868421,0,0.138461538,0.014942529,-0.415538932,-0.557678147,-0.722167199,-0.170378904,0.235306122,0.229727656,0.129504132,-0.063799502,-0.160141601,-0.173522483,-0.013320575,0.045632334,0.152716373,0.068752117,0.071655887,0.047843442,0.010360777,10200
-0.008948546,0.415720891,0.346830986,0.169736842,0.090909091,0.246153846,-0.070114943,-0.716048963,-0.411905479,-0.505759143,-0.126856119,0.282653061,0.005466053,-0.031033058,-0.057343297,-0.066090661,-0.111811664,-5.04E-05,0.069670795,0.220876733,0.037221909,0.063597167,-0.069270429,-0.098982424,10400
0.087430415,0.127154266,0.396126761,0.30625,0.081818182,0.2,0.9,0.506698402,0.253397262,-0.077497768,0.070532514,0.237959184,0.126448025,-0.018099174,-0.111585583,-0.115231152,0.002338943,-0.008536248,-0.068774446,0.219333084,0.085341615,0.03617014,-0.083296374,-0.010757235,11300
0.129805941,0.025535939,0.11971831,0.05,0.027272727,0.076923077,0.126436782,0.300068004,0.044582789,-0.029297042,0.014208909,0.072857143,0.012428078,-0.123016529,-0.032331859,0.001920019,-0.156438026,0.060987586,0.036831812,0.098793556,0.08606437,0.007665195,0.197804635,0.147561781,11402
0.107122418,0.046237915,0.021713615,0.00625,-0.081818182,-0.153846154,0.103448276,0.033458007,0.018944338,-0.084057812,-0.010240655,0.122653061,0.006616801,-0.18785124,-0.014081643,0.049635496,-0.155743123,0.023342482,-0.062337027,0.086264519,0.118848108,0.211511481,0.110987914,0.322743491,13000
0.178398627,0.155212274,0.161971831,0.0375,0.054545455,0.030769231,0.114942529,0.049472968,0.05979516,-0.029003583,0.00140809,0.052857143,0.013751438,0.051818182,-0.008438819,0.062400624,0.013999763,0.068466245,0.080589961,0.161273885,0.161682665,0.289994183,0.514857523,0.466261398,14000
0.086311846,0.041298865,0.014084507,0.00625,0.009090909,0,-0.031034483,0.092485549,0.020383573,-0.000813127,0.027009729,0.059591837,0.027291906,0.034545455,0.02104621,0.038145381,0.003949086,0.074333342,0.05720339,0.052499063,0.05959345,0.105858399,0.14258787,0.191806528,14801
0.027652047,0.006410256,0.014084507,0.01875,0.009090909,0.015384615,0.022988506,0.034478069,0.015806473,0.007807246,0.01062468,0.004489796,0.01039509,0.005867769,0.003406029,0.000750008,-0.005779563,0.008586609,0.010756193,0.009696516,0.014952005,-0.007870513,-0.002051225,0.037399234,18400
